Time,Data receive rate for R04_n1,Data receive rate for R04_n1 v0,Data receive rate for R04_n1 v1,Data receive rate for R04_n1 v2,Data receive rate for R04_n1 v3,Data receive rate for R04_n1 v4,Data receive rate for R04_n1 v5,Data transmit rate for R04_n1,Data transmit rate for R04_n1 v0,Data transmit rate for R04_n1 v1,Data transmit rate for R04_n1 v2,Data transmit rate for R04_n1 v3,Data transmit rate for R04_n1 v4,Data transmit rate for R04_n1 v5,Usage for R04_n1,Usage for R04_n1 v0,Usage for R04_n1 v1,Usage for R04_n1 v2,Usage for R04_n1 v3,Usage for R04_n1 v4,Usage for R04_n1 v5
2021-09-21T00:00:00.000Z,4743,2029,1475,1184,0,24,28,1536,926,587,0,0,21,1,6280,2956,2063,1184,0,45,29
2021-09-22T00:00:00.000Z,3733,1906,637,1148,0,26,13,1442,815,601,0,0,22,1,5175,2722,1239,1148,0,49,15
2021-09-23T00:00:00.000Z,4359,1766,1528,1039,0,24,0,1588,927,638,0,0,21,1,5948,2693,2166,1039,0,45,1
2021-09-24T00:00:00.000Z,3810,1809,1110,865,0,23,0,1558,853,682,0,0,21,1,5369,2663,1793,865,0,45,1
2021-09-25T00:00:00.000Z,3563,496,2884,157,0,24,0,908,334,551,0,0,21,1,4472,830,3435,157,0,45,1
2021-09-26T00:00:00.000Z,2263,478,1575,184,0,23,0,800,311,467,0,0,21,1,3064,789,2042,184,0,44,1
2021-09-27T00:00:00.000Z,4281,1850,1260,1145,0,23,0,1548,783,742,0,0,21,1,5830,2633,2003,1145,0,45,1
2021-09-28T00:00:00.000Z,4050,1783,1066,1173,0,23,1,5468,1599,3847,0,0,21,1,9519,3383,4914,1173,0,44,2
2021-09-29T00:00:00.000Z,4537,2111,1115,1247,0,26,35,1698,997,678,0,0,21,1,6236,3109,1793,1247,0,48,36
2021-09-30T00:00:00.000Z,6929,2579,2741,1540,0,25,42,1910,1183,703,0,0,21,1,8839,3763,3444,1540,0,47,43
2021-10-01T00:00:00.000Z,5045,2187,1560,1243,0,27,25,1771,1010,738,0,0,21,1,6817,3198,2298,1243,0,49,26
2021-10-02T00:00:00.000Z,6372,574,5566,206,0,23,0,984,419,542,0,0,21,1,7356,994,6109,206,0,44,1
2021-10-03T00:00:00.000Z,3639,593,2769,227,0,23,24,969,418,528,0,0,21,1,4608,1012,3297,227,0,45,25
2021-10-04T00:00:00.000Z,5750,2439,1896,1369,0,23,20,1855,1115,716,0,0,21,1,7605,3555,2613,1369,0,45,21
2021-10-05T00:00:00.000Z,6138,2500,2200,1380,0,25,31,2861,1975,863,0,0,22,1,9001,4476,3063,1380,0,47,32
2021-10-06T00:00:00.000Z,4548,2106,1196,1218,0,24,0,1835,1120,691,0,0,21,1,6383,3227,1889,1218,0,45,1
2021-10-07T00:00:00.000Z,4211,1953,1124,1109,0,23,0,1784,1108,653,0,0,20,1,5995,3061,1778,1109,0,44,1
2021-10-08T00:00:00.000Z,3454,1676,786,944,0,24,22,1721,856,842,0,0,21,1,5175,2532,1628,944,0,46,23
2021-10-09T00:00:00.000Z,7034,497,6314,156,0,23,41,954,405,527,0,0,20,1,7988,902,6841,156,0,44,42
2021-10-10T00:00:00.000Z,1281,537,488,192,0,23,38,1078,551,505,0,0,20,1,2360,1088,993,192,0,44,39
2021-10-11T00:00:00.000Z,4100,1942,947,1151,0,23,33,1718,1020,676,0,0,20,1,5819,2963,1624,1151,0,44,34
2021-10-12T00:00:00.000Z,5236,2047,2024,1138,0,24,0,2000,1064,913,0,0,21,1,7236,3113,2937,1138,0,45,1
2021-10-13T00:00:00.000Z,4065,2012,909,1095,23,23,0,1673,1003,647,0,0,20,1,5739,3017,1557,1095,23,44,1
2021-10-14T00:00:00.000Z,3936,1738,1121,1051,0,23,0,1521,851,647,0,0,20,1,5457,2590,1768,1051,0,44,1
2021-10-15T00:00:00.000Z,3679,1636,1050,927,0,23,40,1522,864,635,0,0,20,1,5202,2501,1685,927,0,44,41
